Players,Points,Goals,Titles
Robert Lewandowski,48,48,4
Lionel Messi ,44,38,2
Mohammed Salah,39,28,0
Karim Benzema,30,30,0
N'Golo Kante,24,0,2
Jorginho,24,8,3
Cristiano Ronaldo ,23,36,2
Kylian Mbappe ,16,42,3
Kevin De Bruyne,10,10,3
Neymar,7,17,2
