Players,Points,Goals,Titles
Robert Lewandowski,52,55,6
Cristiano Ronaldo ,38,37,1
Lionel Messi ,35,31,1
Sadio Mane,29,22,1
Kevin De Bruyne,26,16,2
Mohammed Salah,25,23,1
Kylian Mbappe,19,30,3
Thiago,17,3,6
Neymar,16,19,3
Virgil Van Dijk,13,13,1
